Id,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day,Status,Price,Days,Discount,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
tzygjbzu,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,23,Closed Lost,200,89,True,0,0,1,0,0
ygopox36,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,1,Closed Won,360,0,False,0,0,1,0,0
sh13tgax,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,23,Closed Won,240,0,False,0,0,0,1,0
lkyfgmja,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,1,Closed Lost,1344,-120,True,0,0,1,0,0
h41g1kdd,0,0,0,0,0,1,True,0,0,1,1,0,0,1,0,0,0,0,1,0,0,10,24,Closed Lost,360,-79,True,0,1,0,0,0
r977jbxr,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,1,Closed Lost,600,-37,True,0,0,0,0,1
hpttw6qf,0,0,0,0,0,1,True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,5,1,Closed Won,9616,0,False,0,0,1,0,0
knqp2yf1,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,24,Closed Won,240,0,False,0,0,1,0,0
ew60xg90,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,5,1,Demo 2,200,0,True,0,0,1,0,0
d2dhgml4,0,0,0,0,0,1,True,0,0,1,1,1,0,1,0,0,0,0,1,0,0,8,29,Closed Lost,360,-217,False,0,0,1,0,0
9ydfi2d8,0,0,0,0,0,1,True,0,0,0,1,0,0,1,0,0,0,0,1,0,0,10,24,Closed Won,768,28,False,0,0,1,0,0
7f9rst6w,0,0,0,0,0,1,True,1,0,0,1,1,0,0,1,0,0,0,1,0,0,10,24,Closed Won,768,28,False,0,0,1,0,0
b12w95db,0,0,0,0,0,1,True,0,1,1,0,1,0,1,0,0,0,0,1,0,0,8,29,Closed Lost,768,0,True,0,1,0,0,0
tq5b9bzv,0,0,0,0,0,1,True,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6,1,Closed Won,768,0,False,0,0,1,0,0
ynqclpsw,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8,29,Closed Lost,150,3,True,0,0,1,0,0
eoaoee9k,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6,1,Closed Lost,240,-221,False,0,0,1,0,0
4sas8rnx,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,8,29,Closed Lost,1344,31,True,0,1,0,0,0
ircnlpqh,0,0,0,0,0,1,True,0,1,1,0,0,0,1,0,0,0,0,1,0,0,8,29,Closed Won,1344,0,False,1,0,0,0,0
ah7o4ls4,0,0,0,0,0,1,True,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,1,Closed Lost,240,-83,True,0,0,1,0,0
g859nwe5,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,8,29,Closed Lost,600,-234,True,0,0,1,0,0
ot4bsn7s,0,0,0,0,0,1,True,0,1,1,0,1,0,1,0,0,0,0,1,0,0,8,29,Closed Won,1344,0,False,0,0,1,0,0
wcsrbiyc,0,0,0,0,0,1,True,1,0,0,0,1,0,1,0,0,0,0,1,0,0,7,1,Closed Won,240,31,False,0,0,1,0,0
55d5itu7,0,0,0,0,0,1,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,29,Closed Lost,360,-186,True,0,0,1,0,0
v1y3ny57,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,0,0,1,7,1,Closed Lost,200,-43,True,0,0,1,0,0
